,Date_USD,^GSPC,NDX,SCHD,O,SBUX,GOOG,month_start
208,2021-08-31,4522.68017578125,15582.509765625,77.69999694824219,69.98062133789062,117.48999786376953,145.46200561523438,2021-09-01
229,2021-09-30,4307.5400390625,14689.6201171875,74.23999786376953,62.848838806152344,110.30999755859375,133.2655029296875,2021-10-01
460,2022-08-31,3955.0,12272.0302734375,72.4000015258789,68.27999877929688,84.06999969482422,109.1500015258789,2022-09-01
481,2022-09-30,3585.6201171875,10971.2197265625,66.43000030517578,58.20000076293945,84.26000213623047,96.1500015258789,2022-10-01
711,2023-08-31,4507.66015625,15501.0703125,74.52999877929688,56.040000915527344,97.44000244140625,137.35000610351562,2023-09-01
731,2023-09-29,4288.0498046875,14715.240234375,70.76000213623047,49.939998626708984,91.2699966430664,131.85000610351562,2023-10-01
962,2024-08-30,5648.39990234375,19574.640625,84.52999877929688,62.11000061035156,94.56999969482422,165.11000061035156,2024-09-01
969,2024-09-11,5554.1298828125,19237.30078125,82.55000305175781,62.61000061035156,98.19999694824219,152.14999389648438,2024-10-01
